BH,1961,60.51278049,118.35591
BN,1961,37.73885366,56.42544
BD,1961,,
BT,1961,34.88673171,43.272040000000004
BL,1961,42.43343902,69.87683
BK,1961,60.93604878,122.07807
BC,1961,50.90763415,87.58121
BR,1961,54.7267561,101.03888
VI,1961,,
BX,1961,63.04895122,124.85471000000001
BU,1961,70.19560976,149.05445
UV,1961,34.93863415,49.30261
BY,1961,41.54546341,65.28523
CV,1961,49.04797561,82.30871
CB,1961,41.35768293,56.49866
CM,1961,41.96534146,66.67563
CA,1961,71.34609756,149.45552
CJ,1961,,
CT,1961,36.89570732,53.45017
CD,1961,38.2644878,56.76481
CI,1961,57.65941463,107.78631
CH,1961,44.09870732,63.170519999999996
CO,1961,57.24773171,109.7578
CN,1961,41.83953659,62.51123
CG,1961,41.23353659,64.32569
CG,1961,49.23004878,86.5914
CS,1961,61.28856098,124.14645
IV,1961,37.56307317,57.84698
HR,1961,65.0155122,129.93755
CU,1961,64.51643902,134.7634
UC,1961,,131.76432
CY,1961,69.92782927,152.10068
EZ,1961,70.51268293,147.70076
DA,1961,72.43829268,156.06983
DJ,1961,44.45134146,73.51291
DO,1961,,
DR,1961,52.5782439,100.3886
EC,1961,53.82029268,103.35109
EG,1961,48.58158537,95.47712
ES,1961,50.61226829,92.16414
EK,1961,37.0324878,53.52471
ER,1961,39.06070732,59.2176
EN,1961,68.36080488,142.03489
ET,1961,39.06863415,59.21763
FO,1961,,
FJ,1961,56.39273171,107.15971
FI,1961,68.84414634,140.44667
FR,1961,70.11707317,146.28998
FP,1961,56.78463415,96.56598
GB,1961,39.92804878,61.290859999999995
GA,1961,32.32563415,41.54079
GG,1961,63.83185366,128.72934
GM,1961,69.508,147.0417
GH,1961,46.26670732,78.07737
GI,1961,,
GR,1961,68.54863415,144.13630999999998
GL,1961,,
GJ,1961,60.2495122,119.75307
GQ,1961,61.72529268,120.96411
GT,1961,47.21931707,80.01742
GV,1961,35.08112195,48.86956
PU,1961,38.14329268,57.13456
GY,1961,60.46209756,115.3899
HA,1961,42.68395122,68.68125
HO,1961,46.96387805,79.08340000000001
HK,1961,67.5487561,135.87869
HU,1961,68.93609756,144.78935
IC,1961,73.50341463,158.09048
IN,1961,41.78902439,59.62379
ID,1961,49.26980488,91.49938
IR,1961,45.50895122,74.72106
IZ,1961,49.23163415,86.00199
EI,1961,69.97826829,146.61522000000002
IM,1961,,
IS,1961,72.00658537,151.22012999999998
IT,1961,69.7602439,147.07207
JM,1961,64.87602439,135.18716
JA,1961,68.31,143.06742
JO,1961,53.4715122,96.06560999999999
KZ,1961,58.78158537,109.77468999999999
KE,1961,47.013,80.91465
KR,1961,49.74368293,84.73816
KS,1961,51.4382439,80.71628000000001
KS,1961,53.73673171,92.3707
KV,1961,,
KU,1961,61.2604878,125.8911
KG,1961,56.56412195,105.00559000000001
LA,1961,43.50704878,66.84452
LG,1961,70.03243902,143.6242
LE,1961,63.58597561,126.61391
LT,1961,46.98497561,76.49531
LI,1961,35.04626829,48.16848
LY,1961,44.24668293,75.90298
LS,1961,,
LH,1961,70.10268293,142.92793
LU,1961,68.73773171,142.4889
MC,1961,65.13358537,132.58029
MK,1961,61.24939024,122.23039
MA,1961,40.4572439,61.91925
MI,1961,37.99814634,60.44675
MY,1961,60.05439024,113.79939999999999
MV,1961,37.911,58.45845
ML,1961,28.35873171,33.06861
MT,1961,68.8872439,143.99493999999999
RM,1961,,
MR,1961,44.16392683,73.35341
MP,1961,59.74836585,108.10088
MX,1961,57.65614634,108.925
FM,1961,57.98558537,108.80369
MD,1961,62.17668293,118.54684
MN,1961,,
MG,1961,49.27897561,90.13087999999999
MJ,1961,64.39178049,131.53653
MO,1961,48.86412195,88.99586
MZ,1961,35.4667561,49.74371
BM,1961,43.40253659,66.95054
WA,1961,47.50436585,78.30422
NR,1961,,
